    ,InsuranceType,DateFrom,DateTo,Status,InsurancePolicyNo,ChassisNumber
AHB 3537,,01-01-20,31-12-20,,,LZGJLBS43EX023836
AHB 3656,,01-01-20,31-12-20,,,LZGJLBS49EX023839
ABM 82,,01-01-20,31-12-20,,,LZGJLUM437X030698
ABM 1677,,01-01-18,31-12-18,,,LZGJLUM467X030694
ABL 8870,,01-01-18,31-12-18,,,LZGJLUM447X030699
ABL 8872,,01-01-18,31-12-18,,,LZGJLUM427X030692
ABL 8873,,01-01-18,31-12-18,,,LZGJLUM447X030693
ABL 8676,,01-01-20,31-12-20,,,LZGJLUM417X030700
ABL 8869,,01-01-18,31-12-18,,,LZGJLUM4X7030696
,,,,,,
,,01-01-18,31-12-18,,,
BAE 7208,,01-01-19,31-12-19,,,BU66-0016920
,,01-01-18,31-12-18,,,
,,,,,,
BCB 2068ZM,,01-01-18,31-12-18,,,MAT524004HSR04778
ABM 84,,01-01-20,31-12-20,,,LZGJLUM487X030695
,,,,,,
ALJ 7657,,01-01-18,31-12-18,,,ACM21-0003195
ALB 1738,,01-01-18,31-12-18,,,JN1TANZ0005307
BAD 9714,,01-01-20,30-09-20,,1570052,WVGZZZ7PZGD000435
ALB 5638,,01-04-18,31-03-19,,,AFATXXMJ2TBC00184
ALD 5837,,01-01-18,31-12-18,,,LVBV6PEC1BH018532
BAE 5273,,01-04-20,31-03-21,,,AHTHZ3CD900840614
ALM 573,,17-07-19,31-03-20,,1355537,6FPNXXMJ2NDP11763
BAE 2708,,01-04-20,31-03-21,,,JTEBH3FJ70K132708
ALP 3916,,01-01-20,31-12-20,,,WV1ZZZ2HZCA030287
ALM 7830,,01-01-18,31-12-18,,,ACM21-0044321
ABR 1496,,01-01-18,31-12-18,,,ZCA26-00040BS
ALR3963,,01-01-20,31-12-20,,1110496,URJ202-4003404
ALF 7410,,01-01-18,31-12-18,,,NZE121-3005662
BAD 5873,,01-01-18,31-12-18,,,KCH46-0015080
BAG 5081ZM,,01-01-20,31-12-20,,,JTEBH3FJ00K058077
BAG 3357ZM,,01-01-20,31-12-20,,,LVBV6PEC9HH020702
BAG 3358ZM,,01-01-20,31-12-20,,,LVBV6PEC8GH023878
BAG 3119ZM,,01-01-20,31-12-20,,,LVBV6PECXGH023879
BAG 3306ZM,,01-01-20,31-12-20,,,LVBV6PEC4HH020705
BAG 3313ZM,,01-01-20,31-12-20,,,LVBV6PEC2HH020704
BAG 3314ZM,,01-01-20,31-12-20,,,LVBV6PEC0-HH020703
AEB 263,,01-01-18,31-12-18,,,NPR857017105
AEB 262,,01-01-20,31-12-20,,,FTR347004109
BAD 199,,02-01-18,31-12-18,,1110514,V73W-0400603
ALD896,,02-01-18,31-12-18,,1110515,AHTZZ69G005018259
ACT9394,,02-01-18,31-12-18,,1110516,NZE121-5015725
ALG4237,,02-01-18,31-12-18,,1110517,ZZE122-0108185
ALP 8954,,02-01-18,31-12-18,,,FE335EV-441913
ALX 5273,,02-01-18,31-12-18,,,FB4JEA-51888
BCB 223ZM,,01-10-18,31-03-19,,,492051G5R700802
ALZ 2640,,02-01-18,31-12-18,,,V75W-0013148
BCB 233ZM,,01-01-20,31-03-20,,1570937,492051G5R700801
,,,,,,
,,,,,,
ALL 1279,,02-01-18,31-12-18,,,V75W-0202380
BAC 4913,,02-01-18,31-12-18,,,AHTFZ29G309141929
BAD 8952,,02-01-18,31-12-18,,1115036,FC3JKA-10336
11CD23Z,,02-01-18,31-12-18,,,ACA21-0306401
BAD 3533,,02-01-18,31-12-18,,,AHTTFR22G206113213
BAD 1816,,01-01-20,31-12-20,,,GRX120-0023443
ALV 4465,,03-01-18,31-12-18,,,BU107-0106392
ALR 9225,,03-01-18,31-12-18,,,VCH10-0012143
ABZ9515,,03-01-18,31-12-18,,1110542,BU88-0034841
ALD8836,,03-01-18,31-12-18,,1110543,SALLAAA176A406067
AAX9501,,03-01-18,31-12-18,,1110545,FK337H8530314
BAE 8294,,01-01-19,31-03-19,,1110545,AHTHZ3CD100840798
BAE 8293,,01-01-19,31-03-19,,1110545,AHTHZ3CD300840723
BAD 5029,,03-01-18,31-12-18,,1110547,AHTEZ39G207035887
BAC9846,,07-01-18,31-12-18,,1110549,MROFZ22G601075383
ALZ 3046,,08-01-18,31-12-18,,,LJ11RFCD4E3004730
ALD 7911,,01-10-18,30-09-19,,1225890,SALLAAA138A47584
ABX2928,,09-01-18,31-12-18,,,JTELB71J607087266
ABR7601,,09-01-18,31-12-18,,,MMBENKB409D006228
BAF6050ZM,,01-01-20,31-12-20,,,LVAV2MBB5GJ004191
ALR 1024,,01-01-20,31-12-20,,,ACA21-0028783
BAG 5961ZM,,11-01-18,31-12-18,,,LVBV4JBB4GJ082711
GRZ 1-3467,,11-01-18,31-12-18,,,AGWE1000008
GRZ 1-3462,,11-01-18,31-12-18,,,AGWE1000006
GRZ 1-3464,,11-01-18,31-12-18,,,AGWE1000007
GRZ 1-3463,,11-01-18,31-12-18,,,AGWE1000010
GRZ 1-3466,,11-01-18,31-12-18,,,DF604000031708712
GRZ 1-3465,,11-01-18,31-12-18,,,AGWE1000005
GRZ 1-3460,,11-01-18,31-12-18,,,AGWE1000009
GRZ 1-3461,,11-01-18,31-12-18,,,AGWE1000004
BAF 467,,01-04-20,30-06-20,,1571745,AHTFS8CD001400994
BAE 2234,,08-01-20,31-03-20,,,AHTFS8CD401400271
,,,,,,
BAG7780ZM,,01-04-20,31-03-21,,1571522,LST9400J4A0106026
BAG7789ZM,,01-04-20,31-03-21,,1571525,LST9400JXA0106029
AEB 1086ZM,,13-01-18,31-12-18,,1110571,AHTKB3CB602361337
BAG7794ZM,,01-01-20,31-12-20,,,ACU10-0007949
BAF 9640ZM,,16-01-18,31-12-18,,,AHTHZ3CD300841239
BAG 7829ZM,,16-01-18,31-12-18,,,RZN185-9042180
,,,,,,
,,,,,,
TBA HN,,17-01-18,31-12-18,,1110577,LZZ5ELSD5HN285821
11CD61Z,,15-11-19,31-03-20,,1570223,ACA36-5018913
BAG 8095ZM,,01-01-20,31-12-20,,1570528,MNH10-00493333
BAG 6118ZM,,25-01-18,31-12-18,,,GRS182-1002123
BAG 8325ZM,,27-05-19,31-12-19,,,SALLAAAF3AA543319
BAG 8685ZM,,01-04-20,31-03-21,,,AHTHA3CD603420489
BAA 6632,,29-01-18,31-12-18,,,NT30-025054
ALB 3281,,01-04-20,31-03-21,,1571406,AFATXXMJ2TAR00042
BAG7877ZM,,03-02-18,31-12-18,,1110589,FD2JLB-17127
BAG7722ZM,,01-01-20,31-12-20,,1570650,FC3JKE-11046
ABJ 3055,,07-02-18,31-12-18,,,JTEBK29J600024616
BAD 6877,,01-01-20,31-12-20,,1570221,AHTKA3FS000612587
BAG 9692ZM,,01-01-20,31-12-20,,,XZU331-1000057
TBA,,15-02-18,31-12-18,,1110595,MAT544152H7G10508
AAB 743TT,,01-04-18,31-03-19,,,LZGJLNR48GX069446
AAB 739TT,,01-04-18,31-03-19,,,LZGJLNR41GX069451
AAB 735TT,,01-04-18,31-03-19,,,LZGJLNR49GX069455
AAB 744TT,,01-04-18,31-03-19,,,LZGJLNR47GX069454
AAB 741TT,,01-04-18,31-03-19,,,LZGJLNR4XGX069447
AAB 737TT,,01-04-18,31-03-19,,,LZGJLNR43GX069449
AAB 734TT,,01-04-18,31-03-19,,,LZGJLNR45GX069453
AAB 738TT,,01-04-18,31-03-19,,,LZGJLNR43GX069452
AAB 745TT,,01-04-18,31-03-19,,,LZGJLNR4XGX069450
AAB 740TT,,01-04-18,31-03-19,,,LZGJLNR41GX069448
AAB 742TT,,01-04-18,31-03-19,,,LZGJLNR44GX069444
AAB 736TT,,01-04-18,31-03-19,,,LZGJLNR46GX069445
AAB 777TT,,01-04-18,31-03-19,,,LZGJLNR43HX031799
AAB 778TT,,01-04-18,31-03-19,,,LZGJLNR48HX031801
AAB 779TT,,01-04-18,31-03-19,,,LZGJLNR4XHX031802
AAB 780TT,,01-04-18,31-03-19,,,LZGJLNR41HX031803
AAB 781TT,,01-04-18,31-03-19,,,LZGJLNR46HX031800
AA 157TT,,01-04-18,31-03-19,,,LJRC12382G7005394
AA 155TT,,01-04-18,31-03-19,,,LJRC12380G7005393
AA 159TT,,01-04-18,31-03-19,,,LJRC12387G7005388
AA 160TT,,01-04-18,31-03-19,,,LJRC12386G7005401
AA 161TT,,01-04-18,31-03-19,,,LJRC1238XG7005420
AA 151TT,,01-04-18,31-03-19,,,LJRC12388G7005397
AA 156TT,,01-04-18,31-03-19,,,LJRC1238XG7005398
AA 145TT,,01-04-18,31-03-19,,,LJRC1238XG7005417
AA 153TT,,01-04-18,31-03-19,,,LJRC12383G7005419
AA 152TT,,01-04-18,31-03-19,,,LJRC12387G7005407
AA 158TT,,01-04-18,31-03-19,,,LJRC12381G7005421
AA 177TT,,01-04-18,31-03-19,,,LJRC1238XH7005144
AA 178TT,,01-04-18,31-03-19,,,LJRC12387H7005151
AA 174TT,,01-04-18,31-03-19,,,LJRC12385H7005150
AA 176TT,,01-04-18,31-03-19,,,LJRC12385H7005147
AA 175TT,,01-04-18,31-03-19,,,LJRC12381H7005145
T   B   A,,21-02-18,31-03-18,,,LXGCPA291GA007606
BAH512ZM,,01-01-20,31-12-20,,1110637,LZZ5CLSB5HD321632
BAH513ZM,,01-01-20,31-12-20,,1110638,LZZ5CLSB7HD321633
AAB 745TT,,01-04-18,31-03-19,,,LZGJLNR4XGX069450
AA 154TT,,01-04-18,31-03-19,,,LJRC12385G7005406
ALR 1546T,,01-04-20,31-03-21,,1571519,LST9400J5A0106021
ALR1547T,,01-04-18,31-03-19,,,LST9400J7A0106022
ALZ3291,,01-04-20,31-03-21,,1571608,L5E5B4D31EA009289
BAH 591ZM,,01-04-20,30-06-20,,,LA996RGC8H0SYL312
BAH 590ZM,,01-04-20,30-06-20,,,LA996RGCXH0SYL313
ACM 3276,,23-02-18,31-12-18,,,LZZ5BBMF97A475497
BAE 8885,,23-02-18,31-12-18,,,ZZT240-0143419
BAH384ZM,,24-02-18,31-12-18,,1110717,MAT544152H7G10508
BAH 733ZM,,01-04-20,31-03-21,,1571104,GRX120-0011579
BAD 7833,,01-04-20,31-03-21,,1355567,LZZ5BADC2FE544327
ALT 3530,,01-04-19,31-03-20,,1110720,AHTEZ39G907033456
11CD29Z,,01-04-18,31-03-19,,1110721,GRS180-5002587
BCB 5027ZM,,05-03-18,31-12-18,,,MAT450020H7R17027
BCB 5023ZM,,05-03-18,31-12-18,,,MAT382042H7R16710
ARB276,,08-03-18,31-12-18,,1110732,LZZ5BBMF9EN82187
BAA 8000,,01-04-20,31-03-21,,1571687,JTMHV09J104111892
ALC 7345,,01-04-18,31-03-19,,,AHTER22G90645301
ALE 9923,,01-04-20,31-03-21,,1571359,JTMHV05J704052272
AHB 1853,,01-04-20,31-03-21,,1571352,LVAV2MBBIDJ063492
ALE 3681,,01-04-18,31-03-19,,,AHTFZ29G609059547
ALG 7085,,01-04-20,31-03-21,,1571356,AHTFZ29G409082762
ALJ 254,,01-04-20,31-03-21,,1571355,AHTFZ29G009087182
ALJ 309,,01-04-18,31-03-19,,,AHTFZ29GX09087402
ALL 4122,,01-04-20,31-03-21,,1571351,AHTFZ29G00904570
ALL 5119,,01-04-20,31-03-21,,1571354,LWLDARHH8DLO41317
ALR 1622,,01-04-18,31-03-19,,,MALAN51BLDM257483
BAC 9887,,01-04-20,31-03-21,,1571357,AHTHZ29G402206160
ALF 4050,,01-04-20,31-03-21,,1571686,JMYLYV98WCJ000261
ALF 4050,,01-04-18,31-03-19,,,JMYLYV98WCJ000261
ALT 1419,,01-04-20,31-03-21,,1571687,MR0FZ29G002520085
ALC 8202,,01-04-20,31-03-21,,1571685,AHTFR22G106043090
ALX 3120,,01-04-20,31-03-21,,,MROFZ29G201515816
ALL 9821,,01-04-18,31-03-19,,,ACM21-5028280
BAA 2392,,01-04-18,31-03-19,,,MROCS12G300037245
ALX 3119,,01-04-18,31-03-19,,,AFATXXMJ2TBL15071
ALC 7342,,01-04-20,31-03-21,,1571683,AHTFR22GX06043847
BAA 4626,,01-04-18,31-03-19,,,ZZT240-0071547
ALX 3595,,01-04-20,31-03-21,,,6FPPXXMJ2PCB30455
ABD 6060,,01-04-20,31-03-21,,1571681,TBA
AEB1522ZM,,01-04-20,31-03-21,,1571612,WDB2110612A690094
ADC 8362,,01-04-20,30-06-20,,1571746,JTELB71J107106645
ACO4699,,01-04-20,31-03-21,,1571682,TBA
BAH1821ZM,,17-03-18,31-03-19,,1110767,LZZ5ELND4HN284736
BAH1825ZM,,17-03-18,31-03-19,,1110766,LZZ5ELND2HN284735
ALP4736,,01-04-18,31-03-19,,1110768,ZZT245-0015985
ABP0561,,01-04-18,31-03-19,,1110769,1986
ALF 1186T,,01-04-18,31-03-19,,,LJRP1237XC2002050
ALF 1187T,,01-04-18,31-03-19,,,LJRP12373C2002049
ALF 1188T,,01-04-18,31-03-19,,,LJRP12371C2002048
ALF 1190T,,01-04-18,31-03-19,,,LJRP12373C2002016
ALF1186T,,01-04-18,31-03-19,,,LJRP1237XC2002050
ALF 1193T,,01-04-18,31-03-19,,,LJRP12373C2002021
ALF 1193T,,01-04-18,31-03-19,,,LJRP12373C2002021
ALF 1195T,,01-04-18,31-03-19,,,LJRP12377C2002023
ALF  1190T,,01-04-18,31-03-19,,,LJRP12373C2002018
ALF  1193T,,01-04-18,31-03-19,,,LJRP12373C2002021
ALF  1196T,,01-04-18,31-03-19,,,LJRP12379C2002024
ALF  1197T,,01-04-18,31-03-19,,,LJRP12370C2002025
ALF 1198T,,01-04-18,31-03-19,,1224588,LJRP12372C2002026
ALF 1203T,,01-04-18,31-03-19,,,LJRP12376C2002028
ALF 1205T,,01-04-18,31-03-19,,,LJRP12374C2002030
ALF 1206T,,01-04-18,31-03-19,,,LJRP12376C2002031
ALF 1208T,,01-04-18,31-03-19,,,LJRP1237XC2002033
ALF 1211T,,01-04-18,31-03-19,,,LJRP12373C2002035
ALF 1211T,,01-04-18,31-03-19,,,LJRP12373C2002035
ALF 1320T,,01-04-18,31-03-19,,,LJRP12375C2002036
ALF 1324T,,01-04-18,31-03-19,,,LJRP12377C2002040
ALF 1325T,,01-04-18,31-03-19,,,LJRP12379C2002041
ALF 1326T,,01-04-18,31-03-19,,,LJRP12370C2002042
ALF 1327T,,01-04-18,31-03-19,,,LJRP12372C2002043
ALF 1329T,,01-04-18,31-03-19,,,LJRP12372C2002012
ALF 1330T,,01-04-18,31-03-19,,,LJRP12374C2002013
ALF 1328T,,01-04-18,31-03-19,,,LJRP12374C2002044
ALF 1333T,,01-04-18,31-03-19,,,LJRP1237XC2002016
ALF 1335T,,01-04-18,31-03-19,,,LJRP12371C2002003
ALF 1334T,,01-04-18,31-03-19,,,LJRP12373C2002004
ALF 1339T,,01-04-18,31-03-19,,,LJRP12370C2002008
ALF 1338T,,01-04-18,31-03-19,,,LJRP12379C2002007
ALF 1340T,,01-04-18,31-03-19,,,LJRP12372C2002009
ALF 1341T,,01-04-18,31-03-19,,,LJRP12379C2002010
ALF 1342T,,01-04-18,31-03-19,,,LJRP12370C2002011
ALF 1341T,,01-04-18,31-03-19,,,LJRP12379C2002010
ALF 1344T,,01-04-18,31-03-19,,,LJRP12376C2002045
ALF 1344T,,01-04-18,31-03-19,,,LJRP12376C2002045
ALF 1348T,,01-04-18,31-03-19,,,LJRP12378C2002001
ALF 1349T,,01-04-18,31-03-19,,,LJRP1237XC2002047
ALF 1350T,,01-04-18,31-03-19,,,LJRP12378C2002046
ALF 1189T,,01-04-18,31-03-19,,,LJRP12371C2002017
ALF 1354,,01-04-18,31-03-19,,,LZGJLNR49CX011386
ALF 1351,,01-04-18,31-03-19,,,LZGJLNR43CX011366
ALF 1355,,01-04-18,31-03-19,,,LZGJLNR44CX011375
ALF 1356,,01-04-18,31-03-19,,,LZGJLNR44CX011358
ALF 1357,,01-04-18,31-03-19,,,LZGJLNR4XCX011364
ALF 1358,,01-04-18,31-03-19,,,LZGJLNR47CX011368
ALF 1359,,01-04-18,31-03-19,,,LZGJLNR41CX011365
ALF 1360,,01-04-18,31-03-19,,,LZGJLNR42CX011360
ALF 1361,,01-04-18,31-03-19,,,LZGJLNR41CX011351
ALF 1362,,01-04-18,31-03-19,,,LZGJLNR43CX011352
ALF 1363,,01-04-18,31-03-19,,,LZGJLNR45CX011353
ALF 1364,,01-04-18,31-03-19,,,LZGJLNR46CX011359
ALF 1353,,01-04-18,31-03-19,,,LZGJLNR4XCX011378
ALF 1365,,01-04-18,31-03-19,,,LZGJLNR42CX011357
ALF 1366,,01-04-18,31-03-19,,,LZGJLNR47CX011354
ALF 1367,,01-04-18,31-03-19,,,LZGJLNR40CX011356
ALF 1370,,01-04-18,31-03-19,,,LZGJLNR45CX011367
ALF 1371,,01-04-18,31-03-19,,,LZGJLNR42CX011374
ALF 1372,,01-04-18,31-03-19,,,LZGJLNR45CX011384
ALF 1373,,01-04-18,31-03-19,,,LZGJLNR43CX011383
ALF 1374,,01-04-18,31-03-19,,,LZGJLNR41CX011382
ALF 1375,,01-04-18,31-03-19,,,LZGJLNR4XCX011381
ALF 1377,,01-04-18,31-03-19,,,LZGJLNR46CX011376
ALF 1379,,01-04-18,31-03-19,,,LZGJLN47CX011385
ALF 1378,,01-04-18,31-03-19,,,LZGJLNR48CX011377
ALF 1380,,01-04-18,31-03-19,,,LZGJLNR41CX011379
ALF 1381,,01-04-18,31-03-19,,,LZGJLNR49CX011369
ALF 1382,,01-04-18,31-03-19,,,LZGJLNR45CX011370
ALF 1383,,01-04-18,31-03-19,,,LZGJLNR49CX011372
ALF 1384,,01-04-18,31-03-19,,,LZGJLNR49CX011355
ALF 1385,,01-04-18,31-03-19,,,LZGJLNR42CX011388
ALF 1386,,01-04-18,31-03-19,,,LZGJLNR40CX011387
ALF 1387,,01-04-18,31-03-19,,,LZGJLNR44CX011389
ALF 1388,,01-04-18,31-03-19,,,LZGJLNR4XCX011400
ALF 1389,,01-04-18,31-03-19,,,LZGJLNR47CX011399
ALF 1391,,01-04-18,31-03-19,,,LZGJLNR41CX011396
ALF 1392,,01-04-18,31-03-19,,,LZGJLNR4XCX011395
ALF 1393,,01-04-18,31-03-19,,,LZGJLNR48CX011394
ALF 1395,,01-04-18,31-03-19,,,LZGJLNR44CX011392
ALF 1396,,01-04-18,31-03-19,,,LZGJLNR42CX011391
ALF 1397,,01-04-18,31-03-19,,,LZGJLNR40CX011390
ALF 1398,,01-04-18,31-03-19,,,LZGJLNR40CX011373
ALF 1540,,01-04-18,31-03-19,,,LZGJLNR43CX011397
ALM 8038,,20-03-18,31-03-19,,,MMBJNK7403D040399
ALL 3002T,,01-04-18,31-03-19,,,LJRB13386C6006744
ALL 2935,,01-04-18,31-03-19,,,LZZ5CLMB3CN801488
BAC 1608,,01-04-18,31-03-19,,,WFOLMFE10AW887835
ACB 5535,,01-04-18,31-03-19,,,MROCS12G300037245
ABV6770,,01-01-20,31-12-20,,1110868,MNBBSBE40AW803109
TBA ARU,,23-03-18,31-03-19,,1110872,MAT544152H7J13787
BAH2686ZM,,22-03-18,31-03-19,,1224682,WDC1668242A943545
ALP 5277,,01-04-20,31-03-21,,,LZZ5ELMA0DN822429
ALP 5280,,01-04-20,31-03-21,,,LZZ5ELMA9DN822445
ALP 5279,,01-04-20,31-03-21,,,LZZ5ELMA7DN822444
ALP 4133,,01-04-20,31-03-21,,,LZZ5ELMAXDN822440
BAC 4018,,01-04-20,31-03-21,,,LZZ5ELND7FN081790
BAC 2398,,01-04-20,31-03-21,,,LZZ5ELND9FN081791
BAC 2397,,01-04-20,31-03-21,,,LZZ5ELND0FN081792
BAC 2396,,01-04-20,31-03-21,,1571348,LZZ5ELND2FN081793
BAC 4217,,01-04-18,31-03-19,,,LZZ5ELND6FN081795
BAC 2394,,01-04-20,31-03-21,,,LZZ5ELND8FN081796
BAC 2401,,01-04-20,31-03-21,,,LZZ5ELND1FN081798
BAC 2403,,01-04-20,31-03-21,,,LZZ5ELND6FN081800
BAC 2405,,01-04-20,31-03-21,,,LZZ5ELND8FN081801
BAC 2406,,01-04-20,31-03-21,,,LZZ5ELND1FN081803
BAC 3610,,01-04-20,31-03-21,,1571346,LZZ5ELND3FN081804
BAC 2416,,01-04-20,31-03-21,,,LZZ5BLMF9FN081740
BAC 2420,,01-04-20,31-03-21,,,LZZ5BLMF0FN081741
BAC 2414,,01-04-20,31-03-21,,,LZZ5BLMF8FN081745
BAC 4017,,01-04-20,31-03-21,,,LZZ5BLMFXFN081746
BAC 4218,,01-04-20,31-03-21,,,LZZ5BLMF1FN081747
BAC 2419,,01-04-20,31-03-21,,,LZZ5BLMF3FN081748
BAD 2584,,01-04-20,31-03-21,,,LZZ5BLMF2FN074869
BAD 2634,,01-04-20,31-03-21,,,LZZ5BLMF0FN074871
BAC 2422,,01-04-20,31-03-21,,,LZZ5BLMF2FN081739
BAC 2417,,01-04-20,31-03-21,,1571337,LZZ5BLMF2FN081742
ALP 1153,,01-04-20,31-03-21,,,LZZ5BLMF3DN823904
BAD 3418,,01-04-20,31-03-21,,,LZZ5BLMF9FN074867
BAD 2668,,01-04-20,31-03-21,,,LZZ5BLMF3FN074864
,,01-04-18,31-03-19,,,LZZ5BLMF6DN823900
ALP 559,,01-04-20,31-03-21,,,LZZ5BLMF6DN823900
BAC 2421,,01-04-20,31-03-21,,1571367,LZZMBBGF8FC199128
ALP 4134,,01-04-20,31-03-21,,1571778,LZZ5BLMF4DN823894
BAD 2321,,01-04-20,31-03-21,,,LZZMBBFF2FC196274
BAD 2620,,01-04-20,31-03-21,,,LZZ5BLND7FD924644
ALP 453,,01-04-20,31-03-21,,,LZZ5BLND17N821764
BAF 3542ZM,,01-04-20,31-03-21,,,LZZ5BLND9GN191475
BAF 3500ZM,,01-04-20,31-03-21,,,LZZ5BLND2GN191476
BAF 3499ZM,,01-04-20,31-03-21,,,LZZ5BLND2GN191477
ALP 1180,,01-04-20,31-03-21,,,LGHXGGHN7C7002325
ALP 1180,,01-04-18,31-03-19,,,LGHXGGHN7C7002325
BAC 2423,,01-04-20,31-03-21,,,LGHXGGHL1FH120562
ADD 7363,,01-04-18,31-03-19,,,LXGCPA407EA016760
BAB 6718,,01-04-20,31-03-21,,,LZZ5CLSB4FD924827
ALP 4086T,,01-04-20,31-03-21,,1571744,LRJ98RT39D0003045
ALT 1268,,01-04-20,31-03-21,,,LZZ5CLSB6DA766280
ALT 1269,,01-04-20,31-03-21,,,LZZ5CLSB4DA766276
ADD 6963T,,01-04-20,31-03-21,,1571743,LRJ98RG32EK003159
ALT 1270,,01-04-20,31-03-21,,,LZZ5CLSB6DA766277
ALR 7664,,01-04-20,31-03-21,,,LJRB13397D2014949
ALX 1821,,01-04-20,31-03-21,,,LZZ5CLSB8DA750646
ALR 7665,,01-04-20,31-03-21,,,LJRB13395D2014948
ADD 7319,,01-04-18,31-03-19,,,LZZABLMF5EC192651
ALJ 2654,,01-04-18,31-03-19,,,6FPPXXMJ2PCL67038
ALJ 82,,01-04-20,31-03-21,,,6FPPXXMJ2PCL67039
ALL 4980,,01-04-20,31-03-21,,,ADNAJUD22Z0033872
ACP 551,,01-04-20,31-03-21,,,MRC0Z12GX00028232
BAA 1967,,01-04-20,31-03-21,,,AHTDR22GX05535341
BAA 1969,,01-04-20,31-03-21,,,AHTDR22G205535320
BAA 2146,,01-04-20,31-03-21,,,AHTDR22G305535441
BAA 1987,,01-04-20,31-03-21,,,AHTDR22G605535286
BAA 8898,,01-04-20,31-03-21,,,AHTFZ29G709123644
BAE 5271,,01-04-20,31-03-21,,,AHTHZ3CD800840426
BAD 6308,,01-04-20,31-03-21,,,AHTHZ3CD700840143
BAD 6309,,01-04-20,31-03-21,,,AHTHZ3CDX00840055
BAE 9374,,01-04-20,31-03-21,,,AHTHZ3CD700840837
BAE 5273,,01-01-19,31-03-19,,,AHTHZ3CD900840614
ALZ 5926,,01-04-20,31-03-21,,,AHTFZ29G609120542
ALZ 5523,,01-04-20,31-03-21,,,MNTVCUD40Z0609769
BAG 8685ZM,,01-01-19,31-03-19,,,AHTHA3CD603420489
BAD 7556,,01-04-20,31-03-21,,,AHTKZ3FS500200173
ALC 4211,,01-04-18,31-03-19,,,KZN185-0035110
BAD 2583,,01-04-20,31-03-21,,,LZZ5BADC3FE544322
BAD 2586,,01-04-20,31-03-21,,,LZZ5BADC5FE544323
BAD 2617,,01-04-20,31-03-21,,,LZZ5BADC4FE544328
ADD 8745,,01-04-20,31-03-21,,,LZZ5BADC7FE544324
ALJ 6555,,01-04-20,31-03-21,,,ADMFSR34P8GS6918S
ALZ 9611,,01-04-18,31-03-19,,,AHTFZ29G809126729
BAA 3431,,01-04-20,31-03-21,,,AHTFZ29G509125103
BAA 2774,,01-04-20,31-03-21,,,AHTDR22GX05535372
ALX 2390,,01-04-20,31-03-21,,,KMHSU81CSEU320868
BAF 222,,01-04-20,31-03-21,,,JTEBR3FJ60K034850
BAG 917ZM,,01-01-19,31-12-19,,,JTEBR3FJ30K058443
ALX 2986,,01-04-20,31-03-21,,1571347,1C4RJFGMXEC424419
ALX  2986,,01-04-18,31-03-19,,,1C4RJFGMXEC424419
BAC 4671,,01-04-20,31-03-21,,,GRX120-0080742
ALG 8166,,01-04-20,31-03-21,,,AHTZZ69G605017150
ACP 415,,01-04-20,31-03-21,,,LZZ5ELMA67A316356
ACP 6265,,01-04-20,31-03-21,,,LZZ5ELND97W633138
ACP 6239,,01-04-20,31-03-21,,,LZZ5ELND17W633134
ACR 705,,01-04-20,31-03-21,,,LZZ5ELND97A396471
ACP 6263,,01-04-18,31-03-19,,,LZZ5ELNDX7W633133
ACP 6267,,01-04-20,31-03-21,,,LZZ5ELND77WW633140
ACP 6238,,01-04-18,31-03-19,,,LZZ5ELND27W633143
ACP 6241,,01-04-20,31-03-21,,,LZZ5ELND7W633142
ACP 6264,,01-04-18,31-03-19,,,LZZ5ELND77W633137
ALP 4136,,01-04-20,31-03-21,,,LZZ5ELMA6DN822435
ALP 5276,,01-04-20,31-03-21,,,LZZ5ELMA2NDN822447
ALP 4144,,01-04-20,31-03-21,,,LZZ5ELMA3DN822439
ALP 4142,,01-04-18,31-03-19,,,LZZ5ELMAXDN822437
ALP 4140,,01-04-20,31-03-21,,,LZZ5ELMA1DN822438
ALP 4137,,01-04-20,31-03-21,,,LZZ5ELMA7DN822430
ALP 5099,,01-04-20,31-03-21,,,LZZ5ELMA0DN822446
ALP 5281,,01-04-20,31-03-21,,,LZZ5ELMA0DN822432
ALP 4135,,01-04-20,31-03-21,,,LZZ5ELMA5DN822443
ALP 4132,,01-04-20,31-03-21,,,LZZ5ELMA3DN822442
ALP 5275,,01-04-20,31-03-21,,,LZZ5ELMA8DN822436
ALP 5278,,01-04-20,31-03-21,,,LZZ5ELMA7DN822427
ALP 5274,,01-04-20,31-03-21,,,LZZ5ELMA4DN8224448
ALT 906,,01-04-20,31-03-21,,,LZZ5ELMA4DN822434
ALR 9667,,01-04-18,31-03-19,,,LZZ5ELMA9DN822431
ALT 907,,01-04-18,31-03-19,,,LZZ5ELMA9DN822428
ALR 9668,,01-04-18,31-03-19,,,LZZ5ELMA2DN822433
ALT 8617,,01-04-18,31-03-19,,,LZZ5ELMA1DN822441
ACX 7893,,01-04-18,31-03-19,,,LZZ8ELMA07A316353
ACX 7892,,01-04-20,31-03-21,,,LZZ5ELNDX7A346338
ACX 7891,,01-04-18,31-03-19,,,LZZ5EXNC87AN348497
ACZ 2655,,01-04-20,31-03-21,,,LZZ5ELDNOEA791376
ACZ 2654,,01-04-20,31-03-21,,,LZZ5ELND6EA791379
ACZ 2662,,01-04-18,31-03-19,,,LZZ5ELND2EA791380
